index,mean,stderr
0,2.50000000000000000e-01,0.00000000000000000e+00
1,-1.52343750000000000e-01,5.00764389666770709e-03
2,5.32812500000000022e-02,4.63073265216567415e-03
3,-5.39062500000000028e-02,4.62088076696423773e-03
4,-1.58750000000000002e-01,5.26387056578458620e-03
5,7.89062500000000111e-02,4.49518695152567246e-03
6,-4.79687500000000044e-02,4.44420707916496575e-03
7,4.07812499999999981e-02,4.13142649648197587e-03
8,6.28124999999999933e-02,4.79189311059140081e-03
9,-5.93749999999999972e-02,3.75347061619864903e-03
10,4.12500000000000019e-02,3.26758065444960862e-03
11,-3.79687499999999956e-02,4.32542597854053325e-03
12,-5.73437499999999989e-02,4.55560980870472077e-03
13,4.28125000000000033e-02,5.39518979431369630e-03
14,-3.71874999999999983e-02,4.16380109795524891e-03
15,3.50000000000000033e-02,5.61805126356105904e-03
16,2.50000000000000000e-01,0.00000000000000000e+00
17,-9.87500000000000044e-02,4.27565784412176769e-03
18,5.65625000000000017e-02,4.60906602071757456e-03
19,8.07812500000000128e-02,5.77223396059388296e-03
20,-1.32500000000000007e-01,4.10791918128874597e-03
21,6.09375000000000056e-02,3.60753695984762819e-03
22,-5.50000000000000072e-02,3.93303318063806858e-03
23,-5.79687499999999994e-02,3.40204250843029144e-03
24,5.79687499999999994e-02,3.13098385429138454e-03
25,-4.98437499999999992e-02,4.56132262205821183e-03
26,3.84374999999999994e-02,4.54649017558233191e-03
27,4.62499999999999994e-02,3.55756236768942644e-03
28,-4.57812499999999956e-02,5.97180332025706688e-03
29,3.98437500000000042e-02,4.39856007452059990e-03
30,-3.85937500000000100e-02,6.81973526337349874e-03
31,2.50000000000000000e-01,0.00000000000000000e+00
32,-1.53749999999999998e-01,3.99217985566782761e-03
33,-5.48437499999999967e-02,3.47961885783965334e-03
34,6.18749999999999994e-02,3.90312374899899877e-03
35,-1.29062500000000024e-01,3.05227886176869532e-03
36,8.00000000000000017e-02,3.25960120260132460e-03
37,4.39062500000000008e-02,3.76364704276317599e-03
38,-5.04687500000000067e-02,4.41481142245434260e-03
39,5.98437500000000011e-02,3.54633577031748847e-03
40,-5.40624999999999994e-02,4.21971439594356120e-03
41,-4.12499999999999950e-02,2.78575244174112920e-03
42,3.82812500000000028e-02,4.80732270213889406e-03
43,-4.82812499999999978e-02,5.26742519919995347e-03
44,4.32812500000000072e-02,5.18269732499400393e-03
45,2.50000000000000000e-01,0.00000000000000000e+00
46,4.39062499999999939e-02,4.13929813645985169e-03
47,-5.68750000000000019e-02,3.58309107708228158e-03
48,7.93750000000000011e-02,3.88975684758486326e-03
49,-1.56562499999999993e-01,2.23461172988359070e-03
50,-3.57812500000000006e-02,5.06581038885520543e-03
51,4.04687499999999978e-02,4.51974113150668561e-03
52,-5.89062500000000072e-02,4.06950517825365767e-03
53,5.56249999999999939e-02,4.39874508619598602e-03
54,3.28125000000000014e-02,4.06250000000000014e-03
55,-3.76562500000000022e-02,4.25409575928500493e-03
56,4.60937500000000028e-02,5.29823452316901481e-03
57,-5.14062500000000006e-02,4.92108955373028473e-03
58,2.50000000000000000e-01,0.00000000000000000e+00
59,-1.27968749999999992e-01,3.88787344133439310e-03
60,5.70312500000000056e-02,4.01312138231161263e-03
61,-4.64062500000000031e-02,4.20174040081408746e-03
62,-1.09375000000000000e-01,4.28478412525065255e-03
63,6.56250000000000028e-02,3.10828865025971138e-03
64,-5.24999999999999981e-02,3.89310287559935936e-03
65,4.14062499999999986e-02,3.83221507692787719e-03
66,6.45312500000000122e-02,4.00012206844991159e-03
67,-5.31249999999999986e-02,4.15519253464866588e-03
68,4.06250000000000014e-02,5.55980740074090481e-03
69,-4.09375000000000017e-02,6.10189092959442098e-03
70,2.50000000000000000e-01,0.00000000000000000e+00
71,-9.78124999999999967e-02,4.65963942632188419e-03
72,5.74999999999999956e-02,3.89978631893253026e-03
